2025-04-10 18:49:54 [main] INFO  Log - Closing Browser...
2025-04-10 18:49:55 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:49:57 [main] INFO  Log - Navigating to URL...
2025-04-10 18:49:59 [main] INFO  Log - Starting login test...
2025-04-10 18:49:59 [main] INFO  Log - Adding credentials
2025-04-10 18:49:59 [main] INFO  Log - Closing Browser...
2025-04-10 18:49:59 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:50:02 [main] INFO  Log - Navigating to URL...
2025-04-10 18:50:03 [main] INFO  Log - Starting login test...
2025-04-10 18:50:03 [main] INFO  Log - Adding credentials
2025-04-10 18:50:04 [main] INFO  Log - Closing Browser...
2025-04-10 18:54:21 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:54:25 [main] INFO  Log - Navigating to URL...
2025-04-10 18:54:27 [main] INFO  Log - Starting login test...
2025-04-10 18:54:27 [main] INFO  Log - Adding credentials
2025-04-10 18:54:27 [main] INFO  Log - Closing Browser...
2025-04-10 18:54:27 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:54:30 [main] INFO  Log - Navigating to URL...
2025-04-10 18:54:31 [main] INFO  Log - Starting login test...
2025-04-10 18:54:31 [main] INFO  Log - Adding credentials
2025-04-10 18:54:32 [main] INFO  Log - Closing Browser...
2025-04-10 18:54:32 [main] INFO  Log - Starting WebDriver...
2025-04-10 18:54:35 [main] INFO  Log - Navigating to URL...
2025-04-10 18:54:36 [main] INFO  Log - Starting login test...
2025-04-10 18:54:36 [main] INFO  Log - Adding credentials
2025-04-10 18:54:36 [main] INFO  Log - Closing Browser...
2025-04-10 19:01:37 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:01:40 [main] INFO  Log - Navigating to URL...
2025-04-10 19:01:42 [main] INFO  Log - Starting login test...
2025-04-10 19:01:42 [main] INFO  Log - Adding credentials
2025-04-10 19:01:42 [main] INFO  Log - Closing Browser...
2025-04-10 19:01:43 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:01:45 [main] INFO  Log - Navigating to URL...
2025-04-10 19:01:47 [main] INFO  Log - Starting login test...
2025-04-10 19:01:47 [main] INFO  Log - Adding credentials
2025-04-10 19:01:47 [main] INFO  Log - Closing Browser...
2025-04-10 19:01:47 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:01:50 [main] INFO  Log - Navigating to URL...
2025-04-10 19:01:52 [main] INFO  Log - Starting login test...
2025-04-10 19:01:52 [main] INFO  Log - Adding credentials
2025-04-10 19:01:53 [main] INFO  Log - Closing Browser...
2025-04-10 19:03:21 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:03:25 [main] INFO  Log - Navigating to URL...
2025-04-10 19:03:26 [main] INFO  Log - Starting login test...
2025-04-10 19:03:26 [main] INFO  Log - Adding credentials
2025-04-10 19:03:27 [main] INFO  Log - Cicking Login button...
2025-04-10 19:03:27 [main] INFO  Log - Verifying page title
2025-04-10 19:03:27 [main] INFO  Log - Closing Browser...
2025-04-10 19:03:27 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:03:30 [main] INFO  Log - Navigating to URL...
2025-04-10 19:03:32 [main] INFO  Log - Starting login test...
2025-04-10 19:03:32 [main] INFO  Log - Adding credentials
2025-04-10 19:03:32 [main] INFO  Log - Cicking Login button...
2025-04-10 19:03:32 [main] INFO  Log - Verifying page title
2025-04-10 19:03:33 [main] INFO  Log - Closing Browser...
2025-04-10 19:03:33 [main] INFO  Log - Starting WebDriver...
2025-04-10 19:03:35 [main] INFO  Log - Navigating to URL...
2025-04-10 19:03:37 [main] INFO  Log - Starting login test...
2025-04-10 19:03:37 [main] INFO  Log - Adding credentials
2025-04-10 19:03:37 [main] INFO  Log - Cicking Login button...
2025-04-10 19:03:38 [main] INFO  Log - Verifying page title
2025-04-10 19:03:38 [main] INFO  Log - Closing Browser...
